key;de;en
TCMS_0011_CHOICE2;1 Jahr oder weniger;1 year or less
TCMS_0011_CHOICE3;2 Jahre;2 years
TCMS_0011_CHOICE4;3 Jahre;3 years
TCMS_0011_CHOICE5;4 Jahre;4 years
TCMS_0011_CHOICE6;5 Jahre;5 years
TCMS_0011_CHOICE7;6 Jahre;6 years
TCMS_0011_CHOICE8;7 Jahre;7 years
TCMS_0011_CHOICE9;8 Jahre;8 years
TCMS_0011_CHOICE10;9 Jahre oder mehr;9 years or more
TCMS_0011_PROMPT;Wie lange erhält Ihr Kind bereits Instrumental- oder Gesangsunterricht?;How long has your child been taking music or singing lessons? 
TCMS_0012_CHOICE1;Mein Kind spielt kein Instrument.;My child does not play an instrument
TCMS_0012_CHOICE2;Fagott;Basson
TCMS_0012_CHOICE3;Trompete;Trumpet
TCMS_0012_CHOICE4;Posaune;Trombonbe
TCMS_0012_CHOICE5;Tuba;Tuba
TCMS_0012_CHOICE6;Saxophon;Saxophone
TCMS_0012_CHOICE7;Horn;French Horn
TCMS_0012_CHOICE8;Violine;Violin 
TCMS_0012_CHOICE9;Cello;Cello
TCMS_0012_CHOICE10;Bratsche;Viola
TCMS_0012_CHOICE11;Kontrabass;Double bass
TCMS_0012_CHOICE12;Gesang;Voice
TCMS_0012_CHOICE13;Harfe;Harp
TCMS_0012_CHOICE14;Klavier;Piano
TCMS_0012_CHOICE15;Gitarre;Guitar
TCMS_0012_CHOICE16;Schlagzeug;Drums
TCMS_0012_CHOICE17;Xylophon;Xylophone
TCMS_0012_CHOICE18;Flöte;Flute
TCMS_0012_CHOICE19;Oboe;Oboe
TCMS_0012_CHOICE20;Klarinette;Clarinet
TCMS_0012_CHOICE21;Anderes Instrument;Other instrument
TCMS_0012_PROMPT;Was ist das Hauptinstrument Ihres Kindes (Gesang gilt als Instrument)?;What is your child's main instrument (singing counts as an instrument)?   
TCMS_0013_CHOICE1;Mein Kind spielt kein Instrument.;My child does not play an instrument
TCMS_0013_CHOICE2;1 Instrument;1 instrument
TCMS_0013_CHOICE3;2 Instrumente;2 instruments
TCMS_0013_CHOICE4;3 Instrumente;3 instruments
TCMS_0013_CHOICE5;4 oder mehr Instrumente;4 or more instruments
TCMS_0013_PROMPT;Wie viele verschiedene Instrumente (einschließlich Gesang) spielt Ihr Kind?;How many different instruments (including singing) can your child play?
TCMS_0014_CHOICE1;Mein Kind spielt kein Instrument.;My child does not play an instrument
TCMS_0014_CHOICE2;täglich;daily
TCMS_0014_CHOICE3;mehrmals die Woche;several times a week
TCMS_0014_CHOICE4;einmal die Woche;once a week
TCMS_0014_CHOICE5;einmal im Monat oder seltener;once a month or less
TCMS_0014_PROMPT;Wie häufig übt Ihr Kind?;How often does your child practice? 
TCMS_0015_CHOICE1;Mein Kind spielt kein Instrument.;My child does not play an instrument
TCMS_0015_CHOICE2;Mein Kind spielt in keiner Gruppe;My child does not play in any group
TCMS_0015_CHOICE3;1 Jahr oder weniger;1 year or less
TCMS_0015_CHOICE4;2 Jahre;2 years
TCMS_0015_CHOICE5;3 Jahre;3 years
TCMS_0015_CHOICE6;4 Jahre;4 years
TCMS_0015_CHOICE7;5 Jahre;5 years
TCMS_0015_CHOICE8;6 Jahre;6 years
TCMS_0015_CHOICE9;7 Jahre;7 years
TCMS_0015_CHOICE10;8 Jahre;8 years
TCMS_0015_CHOICE11;9 Jahre oder mehr;9 years or more
TCMS_0015_PROMPT;Wie lange musiziert Ihr Kind in einer musikalischen Gruppe (Ensemble, Orchester, Chor, etc.)?;How long has your child been playing in a musical group (ensemble, orchestra, choir, etc.)?
TCMS_0016_PROMPT;"Bitte denken Sie bei jeder der folgenden Fragen an Ihr Kind und beantworten Sie jede Aussage auf einer Skala von „stimme überhaupt nicht zu“ bzw. „nie“ bis „stimme voll und ganz zu“ bzw. „immer“. Es gibt keine richtigen oder falschen Antworten, bitte wählen Sie die Antwort aus, die am ehesten auf Ihr Kind zutrifft.";"For each of the following questions, please think about your child and answer each statement on a scale from “strongly disagree” or “never” to “strongly agree” or “always”. There are no right or wrong answers, please choose the answer that best applies to your child."
